#rxn ID	rxn (extended name)	rxn codes (Rhea ID/EC number)	UniProt IDs (other organisms)	top hit (target organism)	other hits (target organism)
34HPPOR	4 Hydroxyphenylpyruvateoxygen oxidoreductase	RHEA:16192, RHEA:16190, RHEA:16189, RHEA:16191, EC:1.13.11.27	Q872T7, O23920, Q9ARF9, Q5ZT84, P93836, Q1E803, Q96X22, P32755, Q4WHU1, Q27203, Q22633, E9CWP5, P0CW94, O42764, Q60Y65, Q4WPV8, Q76NV5, P80064, O48604, P69053, P32754, Q53586, Q9S2F4, Q9I576, Q6CDR5	('Q6CDR5', 0.916)	
ARGSSr	argininosuccinate synthase reversible	RHEA:10933, RHEA:10935, RHEA:10932, RHEA:10934, EC:6.3.4.5	O97069, Q8Z3H5, P0A6E4, P59609, Q9JWM1, P0C1A0, P22768, P0A6E5, P09034, P00966, Q8X9M0, P24532, P57877, P44315, Q0IFL5, Q06734, Q8ZFV7, Q7PR38, P59608, Q9SZX3, Q9JXC1, Q8XWC1, Q8ZLT0, P59607		
ADCL	4 aminobenzoate synthase	RHEA:16202, RHEA:16203, RHEA:16204, RHEA:16201, EC:4.1.3.38	Q03266, Q8L493, Q9KQI0, P28821, O42951, Q56693, P28305	('Q6C120', 0.703)	('Q6C8W9', 0.648)
ADNt2	adenosine transport in via proton symport	RHEA:29988, RHEA:29989, RHEA:29990, RHEA:29987	P0AFF4, P0AFF2		
AM6SAD	aminomuconate semialdehyde dehydrogenase	RHEA:14469, RHEA:14470, RHEA:14471, RHEA:14472, EC:1.2.1.32	Q9H2A2, Q9KWS5	('Q6C7J6', 0.953)	('Q6C9V7', 0.951), ('Q6C2W9', 0.95), ('Q6CD79', 0.948), ('Q6C0B4', 0.941), ('Q6CGH0', 0.931), ('Q6CDB9', 0.93), ('Q6CF74', 0.891), ('Q6C697', 0.874), ('Q6C5T1', 0.862), ('Q6C0L0', 0.853), ('Q6CGN3', 0.847), ('Q6CG32', 0.806), ('Q6C421', 0.61)
APRTO2	N acetylputrescine oxygen oxireductase deaminating	RHEA:70283	P19643, Q8BW75	('Q6CDJ6', 0.76)	('Q6C826', 0.635)
ASP1DC	aspartate 1 decarboxylase	RHEA:19497, RHEA:19499, RHEA:19500, RHEA:19498, EC:4.1.1.11	Q5E6F9, Q5JJ82, Q9DBE0, Q60358, O58679, Q6ZQY3, Q80WP8	('Q6CBP5', 0.884)	('Q6C4B5', 0.808), ('Q6C2F2', 0.763), ('Q6CG81', 0.709), ('Q6C6I5', 0.656), ('Q6CBG6', 0.654), ('Q6CHE0', 0.644), ('Q6CE24', 0.637), ('Q6C5P5', 0.636), ('Q6C5N1', 0.634), ('Q6C7F4', 0.632), ('Q6C859', 0.624), ('Q6C5J6', 0.616), ('Q6CCX7', 0.592), ('Q6CDM0', 0.581), ('Q6C846', 0.577), ('Q6CFZ7', 0.561)
ASP1DC	aspartate 1 decarboxylase	RHEA:19497, RHEA:19499, RHEA:19500, RHEA:19498, EC:4.1.1.11	P0C7I4, P9WIL3, P0A790		
ATPM	ATP maintenance requirement	RHEA:20621, RHEA:13068, RHEA:13065, RHEA:15181, RHEA:20852, RHEA:14733, RHEA:13067, RHEA:13066, RHEA:14673, EC:7.2.2.15, EC:7.6.2.4, EC:3.6.4.6, EC:7.4.2.1, EC:7.2.2.12, EC:7.1.2.1	B8BMI1, Q40469, O88700, P9WMQ0, P25205, P15038, P9WPT9, Q9QY16, A5DEZ5, A2QFL3, F2Z5Z6, Q7KN62, P11484, A4RK80, Q4P7M1, Q9LZQ9, Q0DBU5, A5DDF4, Q5RDL2, Q1DZK8, O80792, Q68WT1, P32794, Q2UKX3, A5DZE6, I0IUP3, B6ZLK2, A7EYW0, O13559, Q0IFL2, Q74ZC1, Q5BFU7, A5E572, P34689, Q9HCE1, Q80Y44, Q75AE1, Q6BJX6, Q9UZK4, Q6MHJ5, Q16JS8, B0R061, Q5ARK3, P25694, Q6P9R1, A2R0B5, A6QUM7, Q38CE9, Q58352, Q9SIY3, Q2UQW3, P11142, Q6FSF1, P0CQ96, A1DNF9, Q5XH12, A5E3K3, P32597, Q5R5F5, Q5AVC7, Q6BP45, Q92HZ6, Q6FPT7, Q6FU81, P33993, Q2H0I3, P0CR07, Q54Q94, Q4X195, Q60HG2, A6ZNQ1, Q0CBE1, P59966, B5VE38, Q6P5D3, Q04692, A3MWN5, Q54MH3, Q5R864, P9WPS9, Q9H4L7, Q8SRB2, Q9CWX9, Q46437, Q9SU58, P54211, Q9UHI6, P0CQ94, Q5ANB2, Q95050, Q9CD72, A6RCJ9, Q6EVK6, Q0D622, O22907, A7EY76, Q944S1, A1CTZ6, Q99PU8, Q07888, Q6GVM6, O14114, O94395, Q2HFP1, A4RN46, Q68WJ2, Q9NUL7, P07038, Q755A5, Q381V6, A3LZT3, A5DBI5, A4IHD2, Q9SMX1, P35149, Q4WV71, A7TNT1, Q5QMN3, Q2H2J1, Q7SA95, Q9Y7C4, P12954, Q9Y4W6, P34305, Q96FC9, P17844, Q6FIL3, Q9BYX4, A4R8B5, A3LWX3, O13370, Q9FNM7, Q5A4P9, Q4WX43, P38712, Q4ULN5, A6ZUB2, A3LNL1, Q12464, Q2UFL0, Q6BZR4, P29458, Q9ZNT0, P47664, Q75HJ0, P37617, A1CFV3, Q08582, Q7S2N9, P35207, Q9SA27, P33760, O60231, O14647, Q4I830, Q54S03, Q40465, Q58Z64, A5E0U9, P24785, Q6P1V8, Q27268, Q9Y6X9, Q7KU24, F6RIX4, Q4R8K5, Q4R4Y9, P39145, Q6C3J3, P9WPT7, Q2UGK3, Q5HEL7, Q4HZ42, A7TT88, Q0CNX1, A7TPC9, Q9Y2R4, Q9I920, Q9FFT9, P9WMQ6, O74842, Q8NG08, A6R2L6, P24004, Q580X6, Q28BS0, F4KGU4, Q6BV94, A5DS77, P29496, Q8XD86, B8AZ14, Q05931, Q2MHH4, Q4VNC0, Q99MJ9, P30665, Q60QD1, A5DU73, Q0J7Y8, Q3SZ65, Q2MHH3, A5DUB2, O51934, Q9C718, Q97WG8, Q6CB52, Q7SH33, Q8H136, Q8QHA5, Q6CQA1, Q54PT2, P40889, Q9H5Z1, Q5K5B6, A1CYG5, P10081, Q9USU3, Q9C8J1, Q2U070, P43672, Q6BPT8, P32863, P0CO18, Q0UMB6, Q6BH93, Q9M2F9, P9WMR3, Q9HE06, Q54BD6, B8BKI8, O15523, P9WPS7, A6ZP47, Q6FLF3, P75335, Q759G7, Q0DB53, P32892, P0CQ74, Q6CTN7, P03018, P0C2N8, P0ACB0, Q4P3W3, Q7YR39, Q1XG89, Q6Z2Z4, Q7S9J4, Q59W52, Q0UWA6, Q55D61, P0C2N7, Q2W8Q6, Q09811, A5AAE5, Q7SFC8, Q14839, P54210, Q9UT24, Q75BS4, Q9SZB4, Q6FL17, A6ZQJ1, Q07421, D3Z4R1, Q75IP6, Q6CIV2, Q5N7W4, Q1DU75, Q6FP38, P0CR12, Q10202, Q8FB22, Q9ERA9, A2QA23, Q9DGP9, Q9UTP9, Q43704, P74503, Q0JM17, P83571, Q6CH90, Q6BL34, Q755W0, Q9NR30, Q6CUB4, Q6BTL5, Q7RV88, Q94C75, A2QWW0, Q5BGK3, Q84UQ1, A5DLE0, O73946, A5DL80, P23980, P75172, Q6CDV4, P42305, Q5BFU1, Q4Z1L3, A6ZUA1, A2XVF7, P21372, Q59S59, P9WMP8, Q9SW44, A6ZL85, Q0D1K3, Q09747, Q6FNA2, P30771, Q9HGM8, P0CQ93, Q9ZJM5, Q6NE59, F0NDL2, Q8GXD6, Q3SZ54, Q6BGU8, P0CQ92, Q7ZY18, Q4WPW8, A5DQS0, A1D8G1, Q6CXW0, A1CJT5, Q2UPY3, P12522, Q0U6X2, P0CQ90, Q9LV11, I0IUP4, A5DID7, Q4WI96, Q587J7, P46942, Q4HZ68, Q89A52, A5DLR3, P04993, P14565, Q8K4L0, P49739, Q59U81, A5DLF4, A1D1E3, Q0IIK5, O00571, Q9LIH9, Q38F76, P22706, Q2UHB7, O93530, Q9M2E0, P24230, A3DIJ8, Q4P6N0, Q61656, Q924H9, A7ENE0, P56255, P0CW78, Q6CB69, A4QVP2, Q8VY00, Q9ER41, P15938, Q0CF43, Q6CKZ4, Q4WRV2, Q9CAI7, Q6CJU1, Q4IP34, A5DKW3, Q1E9T9, Q9ZJA1, P75539, P16521, P0CQ88, Q1LXK4, Q9LY32, Q5B3H7, P85441, Q9BKQ8, O74727, F4KAB8, Q04437, A4RHF1, A7TFZ9, Q6J5K9, A3BT52, Q6CQA9, Q761Z9, A6ZLH6, Q54VT4, Q9FZ92, O64474, Q84W89, O94247, P32807, Q4WPE9, Q0DWT8, Q6FQZ0, Q5HGK6, Q86XP3, Q19546, Q9D0R4, Q5BBY1, Q21286, Q6H7S2, A1CMQ7, P0CR06, Q92HG8, D1KF50, Q21222, Q7L014, Q59MW2, A1D1R8, Q5BBV9, Q5H9U9, P43809, O74356, P9WPS6, Q1E2B2, Q4IJ56, A4QX49, P53166, Q8I4X0, Q5SL87, Q9LFN6, O25916, Q5RKI1, A6ZT77, Q9RT63, Q6CSW1, Q6GX84, A2QRY2, A2QQA8, Q1E7Y4, Q29S22, P30666, Q9SF41, A2QIL2, Q750Q4, Q54QS3, P60709, B8AZ99, Q9ESV0, Q4I662, F4JMJ3, P0CX15, P46460, E1B7X9, Q5ADL0, Q74Z73, B4GEU5, Q43128, P0CR26, Q40470, Q8LA13, B9XXL6, P63690, A2Q9T6, Q1EB31, Q2HEB0, Q4R7L5, P49519, P46459, Q46259, D0MYB4, Q6CIR0, A2YV85, A3GHW9, P36009, Q1XDF3, P46840, Q92900, A7EGG4, A5E726, Q8IX18, Q754U8, A1DNG2, A2QS00, P0CQ87, Q38X69, Q0CXD0, P87206, P0CX22, P82798, Q9VHP0, P32639, Q17R09, Q4P331, Q4R6M5, B3P3W1, Q6BRN4, P15424, Q75BL8, Q81DF9, O74393, P35597, Q4IAA0, Q7F1M0, Q9V3K3, A4IHT0, B9FKM7, Q6FUA6, Q1K8F7, Q68G38, O94445, Q5R6D8, Q8SQK9, Q4WP13, P0CQ78, Q755N4, Q8W4M7, Q4ICA8, Q9VH07, A6QSQ0, O14022, Q2UE66, A6ZXP4, Q383A1, O94536, Q4WRP2, Q9UMR2, Q59LU0, A6SCT6, Q9URU2, Q8SR01, Q8K363, Q13608, Q9SF37, O33533, A3LQ01, Q55CP6, P35187, Q9VL52, P05030, P20447, P0CQ95, Q0U8V9, P64321, A1D373, A3GGE9, Q59465, Q4P6N7, P0A1Q4, A1CB55, P45612, Q6CA87, O80786, Q4JC68, Q6ABX1, Q54KG1, P27296, A1D7N3, O14657, Q9UHL0, A5WFR0, Q6C4D4, Q6BV58, P45256, Q9LUW5, P40105, P0CR03, P19657, Q0CY48, A1C5V3, Q8BZS9, A6ZL17, Q0CMM8, A7TJT7, Q4WRH5, P0CE16, A4REU9, Q9BQ39, A7EIX7, A5E3W5, A7E449, O13792, Q4WAS9, P47486, Q2U2J6, P0A9P6, A6ZXY5, Q0UU86, Q5APT8, O97159, P53091, A5DIX5, A1D6X9, Q4IAK7, Q9X1X1, A2QEN5, Q93ZG7, Q96S55, A7A0P8, Q9M0Y8, Q6BME5, Q10MH8, P54351, Q2HAD8, Q6P158, A1CJ18, Q0V1Z7, Q8IYD8, A7TE77, Q5U216, Q4WH83, O34580, Q38953, Q9P774, Q0DHC4, Q5HN29, Q5ZKG3, P0CR02, Q10752, Q7QCW2, Q6BT27, Q4IF76, Q5HPW4, Q54IV3, B4HLH4, B4LX81, B0BCM3, Q9FVV4, P0CQ99, P42285, Q75JI3, Q1DWF4, Q9BX63, Q1RI04, A7E436, A4IG62, Q9ULG1, Q7ZXZ0, Q26228, P31380, P0CR13, P51530, Q0UHM7, Q6CJV1, A6ZXG9, C7GQI8, Q9U7E0, P54812, Q8TFL3, Q8X0X2, Q9BYK8, Q974S1, A3LQW7, Q58083, Q9P6U9, A1DL85, P20448, F4JRJ6, A6RJA2, P54132, A6ZXU0, P53978, O60173, Q2UH00, Q1EA54, Q6CDS6, P0DSO6, A1CTL8, Q0U8L4, Q9Y265, Q4HW67, Q6BXG0, A2QUY7, Q3E7X8, P54209, Q6G828, A6R603, Q9SX03, Q4FZF3, P0CQ70, A1CH78, Q92499, P37024, Q5A0W7, Q2UST1, Q3SZ40, Q9SQV1, P33991, Q5XI69, Q9ZVW2, P68137, A2QAB5, Q84TG1, O51528, A3GH91, A3LV40, Q7L2E3, P18398, Q2H720, Q6FU78, A4QTC6, Q61SU7, A5E1W4, Q54EC2, Q9Y4B4, Q04217, P41382, Q81E85, Q92841, Q8YZA1, P40201, Q09803, Q15477, Q5VQL1, Q0U5F2, Q2GQ93, Q5AF95, Q0UR48, F4J9M5, P64318, Q27533, P18708, A3LWH3, Q0CMM5, Q6CGD1, P22516, Q6C799, P09980, A4R715, Q5BDW4, B5X582, Q569Z5, P51333, P28877, Q5JKB0, Q5JK84, E9PZM4, Q26696, A4RGU2, Q9LU46, Q5BET6, Q9VNV3, Q9CWU0, Q9FL33, Q18212, P57611, Q9UUA2, Q0CMB0, Q2H6C5, Q4PEX7, Q7RYZ7, Q54CD6, A7EGL7, Q5F310, Q650T9, A2RUV5, Q6BML1, P9WPS8, Q3YW59, Q0ILZ4, P43299, Q6FML5, A5A6N4, P64315, Q873C7, Q80VY9, A7TK63, Q6BY27, P0A1Q5, Q95YF3, Q9UJV9, Q6C3X7, P43329, P34580, Q75C39, Q9FQ09, Q9FMR9, A7EM78, Q6C347, Q0UN57, Q8CGS6, Q0CGJ9, Q6GFF2, Q2NKX8, A7ESL7, P36016, Q4WT99, O43143, Q6C3X6, A7F8V8, Q4X1X0, Q8H0U8, Q54F05, Q7S5R1, Q23976, A3LP87, A5E1N2, A6RJ45, Q4IJH1, Q14566, P0CQ83, Q1EB85, Q9LUW6, Q03319, Q7M290, Q9W3Y5, Q00578, A5DPU0, Q5AWA6, Q6CXB7, Q5XF90, Q6C7B9, A4QSS5, Q9ER39, Q9C8S9, A7ESL8, A5DDN0, Q12039, P40024, P23478, Q0CZN5, O76743, Q61881, Q75NR7, A1CTZ2, Q4P733, P9WMP9, A1DGZ7, Q0CL13, A2QAX7, Q8BPY9, Q92878, Q61687, Q2H4D0, P46063, Q9SB89, O94692, Q6CXT4, P49717, Q14240, Q8NX11, O34481, Q5FWR0, Q94FB9, Q6DRI7, Q5NVJ8, P53115, Q56XG6, Q0UWC8, A5DK47, P0CQ80, Q75F95, Q5APM7, P0CR28, P78036, Q4WKH9, Q8TDD1, P0A5A4, P75437, Q2U6P7, Q03468, A1CW14, A7A1G0, O32219, Q5A9Z6, P34498, Q966L9, Q12099, Q8SU27, O25029, Q5BCI0, Q1E306, Q4IPI1, Q0DVX2, Q96YR7, Q6C7X8, Q4IEK8, Q2GUI4, A1A4H6, B8B406, Q921N6, P47047, P38112, A5DY34, A6ZWD3, A4R8G3, Q2NL08, Q8R979, P70158, Q6FJG1, P47340, Q756G5, O74465, A3LT90, Q06698, P0CQ98, Q9NXL9, O69460, Q9CMB4, Q9LPD9, Q6CEB8, Q5ZHZ0, Q5ZKB7, P11718, Q8TDI0, Q56X76, Q8JFP1, Q6CT49, Q9Y230, A2VD92, P61221, Q0CZS8, Q2U8K6, Q6PIW4, P0CQ91, O94762, P9WPT8, P40434, Q0U397, Q42556, O49289, Q9Y6V7, A6RGE3, P75438, Q750R1, P63688, P0CQ97, Q2GZU7, Q13838, Q5ASK8, Q6G9Y6, Q2H679, P38935, O13682, A5E058, Q7FGZ2, A1CQA9, P0CR05, Q03099, P0CQ77, Q9VHU1, Q99NG0, Q66HG7, Q07886, Q6NRM6, A6R9U4, P64319, A1DHV3, Q6FKN8, A4RMV8, A3AVH5, Q2TBP1, Q4VNC1, Q0UY62, D0PV95, Q40468, Q59S50, P41377, O50581, Q0UG00, P50729, P9WMQ7, Q9M3H5, Q6ZQJ5, Q84T03, Q8K301, P0CE10, Q54CE0, Q8VDW0, A1CXK7, Q6GHK8, P51979, B3LN76, Q4TVV3, O26051, P40694, Q86WJ1, Q86B47, Q40466, Q5A4E2, O09053, Q05549, P0A8J8, Q751D1, Q09903, Q9P735, A1CNK1, Q5AJD0, P22774, Q55G81, Q9VQN8, P46467, Q9C551, A1C6C4, F4IE66, A7EWH6, O50224, Q62780, B0XDC4, A1CIQ5, A5DTK7, A7TLA0, P0CX20, Q8L7S8, Q9F5P4, Q2R1M8, A6SEH9, Q5AVM1, Q93Y16, Q8NHQ9, Q29DI0, P49731, O30477, A6S4N4, Q9NVP1, P06634, F4K2E9, Q6C0X2, P9WPS4, P15043, Q10RI7, Q6FY67, P47943, A6QXC1, O53114, Q384Y1, P10630, Q9SXJ7, P50831, P0CQ76, Q09719, Q3TYU2, Q8W4R3, A6RC50, P96130, Q03940, A3GFI4, Q57YG0, A4RIF1, Q6BZ77, Q9VL72, O34942, Q8SQM5, P41378, Q755C5, Q40467, A5AA68, P27639, A5A6J2, Q2MHH1, Q75C76, O26901, Q54TJ4, Q4WWD3, Q4PFD9, A5DVM3, A3GG51, P0CR27, P25888, Q6AZV7, D3Z9Z9, Q5M2B1, Q05471, Q60452, Q62095, Q7YQM3, Q3EBD3, Q2UAK1, Q1LXK5, Q7SBR1, Q8N3C0, Q8CDM1, Q5AZA6, Q5R4X1, Q03532, Q14147, Q9SZW4, Q9DBN9, Q8STP2, A7EM88, A6RSH5, Q54900, O02494, A7TGW7, Q9ZD08, Q5ZJF6, Q56313, Q2HGF7, Q99PT0, O34750, Q767K6, B8AEH3, Q5R4I9, Q0INC5, A2QY39, P06839, P34243, Q56214, Q8NVT1, Q8I615, Q2HBE7, Q7XMK8, Q53727, Q2QNM1, Q4IAS1, P9WMR2, Q6Z4K6, O00148, P26802, P0DMI1, P53528, P19447, O75351, Q8RXK6, Q641Y8, Q02322, Q96GQ7, Q8TDG4, A3LNR6, Q6C835, O22243, O60080, Q54E49, Q553B1, Q9GQN5, D0KN27, Q09181, P0CQ84, Q3E9C3, Q08211, O17438, P59947, Q4I7K4, Q4HY71, Q3ZBE0, A4HRK0, Q5B4H8, Q9ZL53, O13983, Q6BU54, Q0VD48, Q6ZPL9, Q6CT29, Q90WU3, Q2MHH2, Q54CD8, Q2UHC1, Q5B948, P0CQ75, B8AZX3, O14656, Q9DBV3, A3LRW2, Q6CSZ7, Q5T1V6, Q754J2, Q0C9E8, Q92484, Q76PD3, Q757U8, A4QYM6, Q2UQI6, C8V8H4, Q4WQM4, A5E2Z9, Q4E162, P60842, A4R5B8, P9WPT6, Q2UUN6, O14646, A8MPP1, P0CO19, O46072, Q54ZI9, P38919, P49380, Q6FS54, A7TJ36, Q0P9V4, Q55418, Q7S6F3, Q59ZH9, P0A812, O22899, Q28CM3, Q6H874, Q0UCB9, P40562, Q7RZH4, P25439, Q6BRE4, D0FH76, P0CR04, O67837, P0CT33, P23394, Q53RK8, Q8GUG7, P20431, Q41741, P87114, Q8NJM2, Q1RKN3, Q1DQ20, O01836, A5DZX2, Q0JL73, Q06218, Q4I7F9, A6RW79, P49736, Q5BCU6, P47317, A1DGF2, Q75B50, Q2GMX1, Q9H6S0, P34668, Q5XH91, P0CQ71, B4K5R2, Q5JKF2, Q6CDN5, P55072, P9WMR5, Q5R658, P42762, Q4WMS3, P23787, P0CR10, F4IJV4, A5DC85, Q6CCZ1, Q99208, Q86IZ9, Q6PL18, Q6F353, Q1E9B7, P45018, P0CQ81, Q5B0J9, P60843, Q4WXW1, G3I8R9, Q9C0X6, Q7S873, Q16TA2, Q498J7, O34748, O16102, Q26454, Q6CX73, Q12055, Q1DTB3, Q0CI35, Q29AK9, Q5BGX6, Q9UT23, A3LSN3, F4IFF3, P32580, A5DF03, B4NBB0, Q9HM14, A1CKJ0, P25808, Q2H0R2, Q5AZY1, A7TJK8, Q4P5U4, Q2UMY7, P23128, A2QC74, P29562, P0CQ79, Q9H078, Q94392, Q9UXG1, Q91VR5, P38719, P21693, O42945, Q24731, P0CQ85, E1BMP7, Q5Z6G5, Q6FST5, Q0E3X4, P39925, Q10055, A2XKG2, Q79PF4, P41379, Q8IY37, Q9FT74, P40377, O13622, P0CQ73, A7TK55, Q6BLU9, Q7SBC6, P93008, P0CQ72, P45818, Q384Y0, A5DAR2, A6ZU15, P0CX21, A1D071, Q12873, A3GFV3, Q92698, Q4P7Z8, Q54UW5, P0CO51, P29469, Q92771, Q14191, P0CX14, Q39189, Q8IVL1, Q0V9Q6, Q8TFK8, Q9XFH4, O78411, Q9M2A0, Q6CWQ5, Q9ZHC7, Q1RIP8, Q4P184, P37367, A2QCW6, Q6BKC2, Q6KAJ4, Q96C10, P37469, Q4P112, A7EAY2, P0CR11, A6SNX1, Q04956, Q5VRY0, Q9C813, A6QLJ0, A5DZT7, P40352, Q69QA6, Q10213, A5DB98, Q9SJB3, O31626, Q9S3Q0, A1CHL3, Q9GZR7, A5DAC8, Q9H0S4, Q4R4T6, P41381, D3ZG52, Q8X5V3, Q9LYJ9, Q1E5R1, Q755G5, P90747, O74431, Q9FQ08, Q6BLM5, A1CNV8, Q2TZH2, P0CQ86, Q9FFQ1, Q5FWY4, P97311, O43933, O95786, O42861, A5DIP0, Q9ZD95, A3LQ55, Q08995, Q8GYD9, Q4YU79, F6QXW0, Q55804, E7F1C4, Q9SH76, P34640, Q6FM43, P20095, Q6CRF4, Q4I948, Q13206, Q12389, G5EDG2, P0CQ82, A2QI25, Q296Q5, A6R3L3, Q9SX04, Q09916, Q9HGM5, A1DG51, Q03194, Q59998, Q759L6, Q6CKI1, Q6C7D2, Q0CDT1, Q7SEL0, P46461, P40341, P41380, Q5AUL4, Q41382, Q6PE54, Q1E0Z3, A2PYH4, P64323, O60306, Q109G2, Q1EB38, B2RR83, A6RUH2, A9X4T1, Q61R02, Q9CWT6, A5E5F7, O08811, Q92620, A1C595, Q0WVF5, A5DR68, Q5ZLN8, Q6CJ38, P9WMR4, Q5AK59, Q91VN6, O32215, Q7L7V1, Q7XPY2, F4K128, O45244, Q59207, Q0U7S9, Q6CM95, A1DE84, Q1DJF0, P0A9W3, Q8TE96, Q6FJJ8, Q58623, B3M383, Q86TM3, Q09772, Q6CT46, Q4WM60, P24545, B4PRJ9, B9DFG3, P52271, Q9VF26, Q8N8A6, Q4WIN6, Q9LT02, O16299, Q4PHU9, P9WPS5, A2A8L1, Q7RZ35, P24384, Q6H601, P53819, Q54Y81, Q757I6, Q5ZBH5, Q6FQU5, P24279, P53734, A4QU31, Q6FN65, Q7YQM4, P0CR29, Q4WEB4, Q0TXZ2, Q9QY15, P36120, Q10D00, Q5RF43, Q6K7R9, P83946, Q6CLR3, A7TJ71, A5DWJ1, Q25225, A4QTR1, O94761, P08394, P54811, Q10061, A6RY31, Q9Y7T7, Q6FK48, Q0CLJ6, Q54MA9, P18074, Q9H6R0, P0ACB1, A5DE68, Q6BSB8, Q6FQQ6, Q93Y39, Q4P9P3, Q9VD51, Q4X0C2, Q6ATJ8, Q5ACK7, P24784, P16381, Q6CCK2, Q9NY93, D3ZD32, Q94BV4, P32644, A7TEF4, Q4WCW2, Q9NXZ2, A6R3R5, Q9H2U1, A6ZRX0, Q9HDY4, Q5AGZ9, P21507, A6SBT4, Q8IY21, Q9RQB4, Q54TD7, Q0CAS8, Q9H611, Q5ZJT0, Q58900, P41389, Q4P0Y5, Q0UAT0, A6SFW7, Q40471, Q0E2Z7, Q1DP69, Q7RX73, O51767, Q6C024, P46100, Q86YA3, Q2FWH5, Q6YS30, P22180, Q4IBS2, A5D7C1, Q7X9V2, Q05311, Q54VF1, Q8K932, Q5AAW3, Q0UZ59, O42643, Q1DI07, Q5RBD4, A7TEG8, A6ZSB3, Q8JHJ2, O62591, Q6CUI6, A2QZ71, A1C7F7, Q6BKH3, Q6C9P3, Q13283, Q54TF8, Q96RR1, Q4UL62, A4RBS3, P9WMQ1, A3LST5, P54679, A1DMT9, Q6DDU8, A7TTT5, P09052, Q8CRT9, Q0JFN7, Q4P328, P24782, F1QDI9, Q8L4E9, A1CSR1, P11021, Q1DMX8, A6SFV4, P64324, Q12697, Q9V3C0, Q8CSV3, Q9FLB0, A7TKR8, P38859, P13569, Q6BI60, A6ZPU3, Q7S133, A3BF39, Q6FU50, P20449, Q9VNP5, Q5RDX4, O75643, Q0D8N0, Q6FW42, Q8IYB8, P46394, A1CX72, Q55681, Q0E2Q3, Q9CNL6, Q09530, Q1DHB2, O75417, Q2U5A2, A3LSJ2, Q96TA2, O83097, Q0CLX0, P0CO50, Q8W4E1, A7F4L5, Q4PDT1, Q10PV9, B4JT42, A6ZZY8, Q0UMB9, A7EJY3, P07271, P53131, Q9QUL6, A2RA55, Q0DBS1, Q02748, P24783, Q8NFZ0, Q7XJN0, P43538, Q09775, P35683, Q5R410, Q9ZRZ8, P38086, Q9FLD5, Q59TB2, P64325, Q2GWJ5, Q08435, Q07478, Q6CK32, Q59PR3, A7TGU7, Q9HE09, P0CQ89, A7TJM9, A6NHR9, Q7S5D9, Q2UMH8, Q55BR9, Q1E6K9, Q8WZS3		
ATPM	ATP maintenance requirement	RHEA:20621, RHEA:13068, RHEA:13065, RHEA:15181, RHEA:20852, RHEA:14733, RHEA:13067, RHEA:13066, RHEA:14673, EC:7.2.2.15, EC:7.6.2.4, EC:3.6.4.6, EC:7.4.2.1, EC:7.2.2.12, EC:7.1.2.1	Q9BSD7, O83296, Q72H90, P37522, Q9K5N0	('Q6CE48', 0.686)	('Q6C7A6', 0.643), ('Q6C5D0', 0.625), ('Q6C3M9', 0.575)
